,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
python,254,273,258,253,371,258,241,229,228,265,256,275,274,266,278,265,263,268,265
pyqt,0,0,2,2,4,2,1,0,0,0,0,0,0,2,0,0,0,1,0
pyside,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0
ml,20,18,15,5,7,54,9,19,34,26,18,21,19,16,17,9,24,13,13
fastapi,25,20,10,10,9,8,14,13,8,19,17,32,15,17,26,22,12,12,20
flask,15,23,32,21,16,21,21,19,18,36,22,34,16,23,28,29,19,14,33
mysql,10,22,14,13,14,19,11,13,9,14,6,19,12,15,18,17,14,9,18
postgresql,51,61,68,46,38,40,27,21,32,34,21,54,52,51,55,52,44,37,41
django,64,89,68,62,93,72,47,35,34,49,34,55,59,60,65,44,25,30,59
asyncio,18,9,11,12,5,10,2,6,1,2,5,14,11,14,13,14,8,11,12
aiohttp,11,20,12,5,4,8,4,11,4,6,8,14,10,10,15,7,6,9,15
многопоточность,0,7,0,1,1,4,2,5,2,3,1,0,8,0,0,3,1,0,4
http,7,11,7,12,3,6,8,9,7,12,8,4,8,12,9,6,8,5,12
websocket,0,2,3,5,0,5,3,0,0,0,2,1,2,1,5,0,0,0,1
tornado,5,2,1,2,7,4,3,3,7,7,8,2,4,5,6,3,1,2,2
database,2,4,1,1,0,1,1,1,3,0,2,2,5,2,3,2,0,0,2
linux,43,43,42,38,37,34,38,23,43,30,45,33,22,37,40,33,29,29,37
djangorestframework,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
html,3,14,4,20,38,13,12,5,8,11,0,9,0,5,5,5,10,4,3
css,3,12,6,9,36,12,11,5,5,9,0,5,0,4,4,5,10,5,3
js,5,13,12,6,7,14,16,9,8,5,4,5,2,2,3,6,9,5,6
spark,3,2,5,2,2,6,4,22,14,28,28,25,26,22,7,13,40,26,15
elt,1,0,0,0,0,0,0,0,0,3,1,2,5,5,0,3,3,0,0
teradata,0,0,0,0,0,0,0,0,1,1,3,4,2,3,2,1,4,2,1
pyspark,1,0,0,0,0,0,0,7,2,7,4,4,5,12,6,3,7,9,3
pyramid,2,6,0,2,0,2,0,0,0,5,2,3,2,0,1,0,1,2,2
c,9,15,14,9,13,15,15,16,14,7,6,9,10,12,9,13,12,6,24
bottle,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ide,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
shell,9,4,1,1,0,3,2,2,7,0,1,1,1,2,1,1,2,2,6
bash,15,15,2,10,3,7,6,9,17,9,9,7,8,8,14,11,12,15,9
unix,11,2,1,2,1,8,2,2,8,3,7,4,5,3,6,8,3,4,5
celery,13,26,15,8,6,17,7,8,4,8,5,9,5,10,13,3,10,6,26
redis,22,42,19,19,17,20,20,15,7,16,11,16,10,16,16,15,24,6,20
clickhouse,16,17,11,10,9,10,10,11,8,13,12,16,12,13,10,17,17,15,10
unit-тест,3,2,1,5,1,1,3,1,3,5,9,6,2,6,4,0,5,4,3
git,26,36,48,59,65,32,50,44,41,40,57,34,35,47,38,34,35,27,32
backend,40,16,14,11,9,12,14,16,7,8,18,16,13,26,14,29,8,10,25
pandas,12,4,11,11,6,17,10,11,17,16,10,23,14,27,18,10,24,17,16
sql,38,66,96,65,61,56,62,86,84,100,99,106,106,73,84,131,87,88,91
dwh,4,1,2,1,0,0,1,0,14,10,12,3,5,5,5,32,18,6,22
etl,8,9,20,1,2,1,2,17,12,21,29,27,22,27,11,30,31,12,20
apache,11,14,14,7,3,4,9,10,16,17,40,10,15,8,3,26,28,18,11
airflow,20,14,9,3,1,3,10,22,20,34,36,21,28,22,11,46,47,28,24
b-тест,0,3,0,1,0,0,1,1,1,0,1,2,1,0,3,0,1,0,0
ооп,10,16,10,27,18,14,24,14,9,18,22,18,13,19,22,16,17,20,18
opencv,4,2,2,1,1,2,5,4,2,4,2,2,3,4,2,1,2,2,1
scikit-image,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
субд,12,2,10,25,8,3,12,8,13,23,18,22,22,7,12,25,19,27,18
sklearn,1,1,3,1,0,6,1,7,4,10,7,10,3,6,1,4,6,2,0
статистика,6,5,6,2,8,11,8,14,14,11,12,16,18,8,22,9,10,17,11
оптимизация,23,33,31,10,15,14,30,19,24,21,31,32,19,36,22,34,34,23,34
dl,3,2,1,2,0,0,5,5,5,5,6,3,4,1,3,1,2,4,3
pytorch,9,11,8,4,2,6,7,13,20,11,11,10,4,9,4,2,10,9,4
tensorflow,5,8,5,3,4,8,6,4,4,7,7,10,4,11,4,2,5,8,3
scikit-learn,0,1,1,2,2,1,3,3,7,4,6,4,2,4,3,1,4,4,1
асинхронный,5,15,7,13,20,3,6,5,3,20,15,20,15,20,19,11,11,21,15
azure,2,1,7,2,0,6,0,3,2,4,2,3,17,5,1,10,1,16,3
devops,18,15,5,6,3,7,11,6,5,8,8,10,11,10,11,14,15,5,8
ds-фреймворк,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
веб-фреймворк,11,0,1,3,0,2,4,0,5,0,2,2,0,0,5,4,1,2,2
rest,27,35,32,39,24,26,27,19,19,28,18,20,26,21,39,21,23,18,33
apis,0,3,0,2,0,6,2,1,1,1,1,2,2,0,2,1,2,0,4
mongodb,13,12,13,6,7,8,11,3,2,10,6,9,5,7,12,8,6,4,6
api,50,48,48,48,44,35,39,26,37,48,46,29,22,26,38,29,33,29,41
graphql,2,0,7,0,1,5,4,3,1,1,1,0,1,1,2,3,0,1,2
sqlalchemy,8,13,17,5,2,9,4,4,2,7,3,16,6,9,6,4,3,4,10
java,23,13,10,7,8,24,19,26,18,24,16,21,22,9,16,17,47,28,28
мультипроцессинг,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
рефакторинг,16,4,7,2,0,7,2,6,6,12,9,7,6,6,3,7,11,1,9
декомпозиция,1,1,5,1,0,2,1,2,3,2,1,1,3,1,1,5,1,2,1
github,7,12,5,3,8,10,4,3,2,2,9,0,5,10,4,1,2,2,7
qt,3,9,2,11,6,0,0,1,0,0,2,0,0,1,1,2,2,0,2
